position	UNBOUND	O	OO	OOO	H	OH	OOH	OOOH	HH	OHH	OOHH	OOOHH	HHH	OHHH	OOHHH	OOOHHH
-18.8 70 1536 1665 144 871 28578 50495 7547 2279 109510 279878 66364 255 10256 22979 0
-18.7 77 1531 1717 139 881 28990 50239 7590 2222 110236 279347 66149 230 10224 22908 0
-18.6 79 1487 1765 140 871 28842 50878 7485 2245 110047 278951 66335 223 10344 22634 0
-18.5 68 1547 1805 139 886 29149 51156 7621 2281 110739 278595 66314 232 10151 22771 0
-18.4 85 1572 1767 130 897 29372 51190 7522 2313 110887 277951 65847 214 10254 22967 0
-18.3 78 1576 1790 127 900 29408 51106 7687 2232 110644 278596 65870 250 10205 22712 0
-18.2 75 1607 1843 136 857 29632 51232 7625 2339 110190 277786 65813 239 10167 22867 0
-18.1 86 1632 1788 128 896 29455 51162 7620 2317 110636 277407 65895 258 10329 22815 0
-18.0 81 1598 1810 132 870 29804 51666 7700 2341 111048 277315 65829 253 10272 22783 0
-17.9 69 1673 1781 116 929 29513 51783 7763 2333 110838 276870 65117 239 10217 22542 0
-17.8 74 1608 1802 142 890 29695 51997 7843 2315 110850 276167 65590 248 10225 22506 0
-17.7 75 1619 1780 136 907 29826 51891 7829 2301 111037 275123 65427 231 10267 22491 0
-17.6 86 1664 1916 155 891 29982 52492 7830 2319 111169 274695 65006 259 10167 22542 0
-17.5 76 1729 1923 129 921 30554 52744 8018 2351 110790 274609 64797 233 10067 22298 0
-17.4 76 1691 1895 149 942 30406 53141 7969 2362 111263 273968 64252 246 10145 22254 0
-17.3 87 1746 1896 138 922 30481 53508 7925 2324 111229 273813 64410 236 10061 22224 0
-17.2 84 1761 1944 163 932 30641 53412 7870 2401 110740 272827 64318 237 10207 22049 0
-17.1 90 1731 1929 159 973 30941 53541 7924 2367 111105 272753 64279 246 10107 22214 0
-17.0 89 1741 2024 154 987 31004 53787 7928 2400 110462 270882 63565 244 10128 22109 0
-16.9 81 1804 2032 166 986 31006 54073 7916 2517 110873 270331 63329 259 10107 21862 0
-16.8 79 1829 2014 155 971 31216 54094 7974 2499 110486 269623 63250 217 10012 21721 0
-16.7 78 1841 2091 146 993 31383 54714 8012 2499 110558 268595 62305 227 9906 21412 0
-16.6 92 1896 2078 175 1015 32059 54874 8180 2498 110092 266565 61946 241 10012 21355 0
-16.5 81 1832 2151 175 1039 32056 54834 8156 2491 110045 265885 61724 251 9861 21352 0
-16.4 98 1944 2167 179 1076 32247 55309 8129 2549 109797 264847 61696 251 9938 21446 0
-16.3 96 1961 2201 178 1047 32350 55185 8213 2561 109743 263914 61146 268 9808 21024 0
-16.2 82 1920 2180 172 1052 32329 55597 8302 2588 110486 262406 61164 226 9853 20972 0
-16.1 99 1982 2201 197 1053 32644 55320 8315 2657 109882 261191 60788 273 9812 20806 0
-16.0 101 1993 2245 175 1105 32663 55450 8295 2695 110063 260270 60464 273 9712 20705 0
-15.9 100 2036 2343 185 1057 32870 55392 8294 2680 109760 259341 60105 255 9598 20645 0
-15.8 118 2071 2335 167 1116 32930 55696 8285 2659 109323 258329 60058 275 9778 20658 0
-15.7 112 2148 2394 175 1169 32896 55636 8187 2768 109631 258068 59503 281 9676 20368 0
-15.6 122 2152 2419 185 1184 33337 55330 8195 2663 108749 256397 59151 275 9658 20513 0
-15.5 122 2169 2407 205 1195 33326 55469 8201 2750 109287 255306 59061 289 9554 20265 0
-15.4 128 2188 2493 186 1209 33658 55952 8128 2808 108148 253858 58397 255 9502 20214 0
-15.3 132 2249 2480 213 1237 33424 55865 8028 2825 107971 252705 58368 272 9500 20088 0
-15.2 120 2178 2530 198 1283 33530 55812 8083 2774 107915 251127 57912 260 9459 19890 0
-15.1 125 2225 2551 193 1257 33743 55577 8146 2751 107608 250218 57472 266 9560 19969 0
-15.0 126 2339 2624 189 1280 33765 55282 8189 2777 107157 249086 57296 230 9319 19992 0
-14.9 124 2370 2647 184 1301 34149 55510 8040 2774 106549 248176 57046 283 9445 19781 0
-14.8 126 2367 2648 204 1277 34512 55561 8120 2837 105807 246930 57015 254 9439 19747 0
-14.7 153 2383 2647 213 1330 34305 55835 8108 2804 106046 245160 56425 252 9281 19421 0
-14.6 148 2518 2761 195 1316 34666 55805 8009 2810 106142 244830 56460 259 9297 19296 0
-14.5 135 2507 2761 231 1305 34631 56083 8043 2805 105756 243559 56055 283 9330 19278 0
-14.4 143 2535 2776 211 1307 34814 56083 8097 2771 105755 243022 55678 257 9339 19186 0
-14.3 140 2692 2801 220 1412 35007 55980 8152 2779 105652 241534 55229 279 9302 19248 0
-14.2 151 2614 2889 207 1400 35290 55659 8087 2849 105437 240742 54956 258 9222 19063 0
-14.1 141 2704 2959 243 1384 35348 56114 8013 2764 104453 239119 55072 263 9173 18879 0
-14.0 155 2715 2959 237 1370 35325 56119 7963 2845 104681 237762 54922 235 9135 18834 0
-13.9 157 2805 3122 230 1423 35433 55921 7930 2806 103887 236781 54348 257 8922 18674 0
-13.8 172 2910 3166 248 1430 35926 55845 7894 2788 102972 235653 53856 266 9144 18598 0
-13.7 176 2930 3300 225 1419 35634 55991 7931 2811 103006 234117 53510 245 9226 18331 0
-13.6 160 3005 3249 234 1506 35759 56099 8023 2855 102467 232539 53149 262 8849 18389 0
-13.5 182 3008 3427 240 1417 35963 56007 7804 2822 102468 231487 52882 276 8979 18212 0
-13.4 183 3201 3494 239 1449 35940 55720 7857 2808 101366 230591 52963 296 8817 18156 0
-13.3 180 3248 3496 241 1451 35911 55763 7838 2783 101624 229710 52562 263 8745 18112 0
-13.2 170 3315 3560 227 1434 35985 56073 7757 2810 101110 227995 51971 284 8735 17921 0
-13.1 181 3399 3675 252 1501 36195 56093 7843 2775 101150 227109 51913 285 8849 17747 0
-13.0 197 3497 3718 225 1478 36143 55975 7971 2798 100270 226113 51663 260 8590 17656 0
-12.9 220 3660 3745 223 1521 36207 56318 7786 2781 100143 224799 51186 284 8755 17534 0
-12.8 230 3729 3841 255 1534 36336 56127 7895 2763 99668 223586 51223 257 8699 17560 0
-12.7 233 3792 3954 258 1589 36553 56345 7875 2774 99224 222209 50347 257 8596 17220 0
-12.6 244 3880 3951 237 1540 36282 55675 7957 2844 98774 220964 50463 265 8389 17291 0
-12.5 270 3981 4013 240 1581 36209 55843 7766 2765 98331 220006 49743 253 8437 17141 0
-12.4 260 4129 4156 257 1532 36548 55366 7717 2792 97921 219305 49731 266 8263 17275 0
-12.3 279 4281 4266 275 1581 36527 55201 7606 2795 97469 217936 49365 247 8375 17094 0
-12.2 305 4447 4253 259 1602 36580 55181 7599 2755 97181 217361 49082 258 8301 17028 0
-12.1 305 4565 4340 248 1634 36587 54651 7603 2752 96963 216070 49033 259 8342 16953 0
-12.0 308 4705 4443 287 1662 36642 54731 7631 2827 96066 214800 48922 244 8276 16995 0
-11.9 305 4716 4449 262 1665 36442 54658 7503 2762 95666 213103 48107 262 8230 16717 0
-11.8 354 4916 4582 272 1647 36788 54502 7428 2732 95688 212245 47973 244 8259 16637 0
-11.7 318 5089 4584 279 1650 36451 54195 7355 2727 95221 211258 47449 251 8100 16581 0
-11.6 353 5082 4590 271 1627 36197 54102 7394 2626 94550 210080 47957 250 8078 16543 0
-11.5 352 5203 4688 265 1684 36044 54139 7218 2650 94482 209307 47310 244 8047 16525 0
-11.4 371 5202 4685 258 1688 36107 54263 7329 2716 94242 209168 47120 238 8126 16208 0
-11.3 375 5357 4702 258 1690 36074 54285 7308 2632 93844 207703 46827 230 8095 16136 0
-11.2 419 5485 4708 257 1694 36207 54127 7376 2630 93676 206466 46707 218 8105 16122 0
-11.1 399 5583 4822 263 1726 36354 54295 7238 2569 93338 205590 46396 226 7966 16061 0
-11.0 413 5612 4763 255 1726 36001 53673 7275 2567 92714 205214 45762 216 7912 16121 0
-10.9 440 5620 4742 250 1725 36228 54042 7410 2584 92007 204662 45876 256 7911 16001 0
-10.8 438 5688 4785 258 1702 36001 53520 7282 2623 91749 203198 45381 240 7816 16104 0
-10.7 445 5694 4794 237 1752 36230 53309 7251 2524 91493 202272 45352 235 7918 15971 0
-10.6 459 5813 4874 273 1739 35927 52969 7251 2600 90739 201385 45145 245 7598 15851 0
-10.5 506 5951 4778 259 1743 35859 52807 7200 2544 90086 200110 44860 234 7709 15433 0
-10.4 497 5938 4940 237 1736 35618 52599 7076 2619 89442 198775 44394 260 7581 15597 0
-10.3 556 5982 4731 247 1731 35692 52354 7147 2513 88846 197902 44021 241 7568 15413 0
-10.2 594 6054 4755 235 1733 35567 52296 6985 2589 88493 196405 44230 252 7519 15273 0
-10.1 561 5923 4752 239 1722 35390 52199 7066 2604 88017 195711 43607 232 7401 15219 0
-10.0 575 5950 4595 235 1660 35377 52004 7099 2644 87560 194028 43725 241 7464 15012 0
