position	UNBOUND	O	OO	OOO	H	OH	OOH	OOOH	HH	OHH	OOHH	OOOHH	HHH	OHHH	OOHHH	OOOHHH
-22.400    -0.010    -0.008     0.003     0.020    -0.018    -0.032    -0.039     0.106     0.047     0.073    -0.005     0.011    -0.002    -0.017    -0.005    -0.017     0.038    -0.019    -0.001    -0.016    -0.007    -0.011    -0.010    -0.012     0.065     0.090    -0.005    -0.014    -0.011    -0.003     0.004     0.029
-22.300    -0.059    -0.275     0.015    -0.018     0.006    -0.037    -0.016     0.224     0.060     0.066    -0.001    -0.011     0.000    -0.007    -0.015     0.004     0.021    -0.023    -0.003    -0.016    -0.008    -0.011    -0.012    -0.013     0.016    -0.004     0.007    -0.015    -0.004    -0.004    -0.005    -0.036
-22.200    -0.140     0.091     0.008     0.004    -0.017     0.016     0.132    -0.030     0.058     0.075    -0.002    -0.004     0.000    -0.001    -0.006    -0.019     0.008     0.011    -0.002    -0.018    -0.007    -0.010    -0.009    -0.011    -0.034    -0.009     0.011    -0.027    -0.002    -0.007    -0.003     0.017
-22.100    -0.016    -0.126    -0.025     0.048     0.016     0.018    -0.026    -0.041     0.058     0.059     0.003    -0.013    -0.001    -0.016    -0.003    -0.022     0.029    -0.013    -0.010    -0.006    -0.008    -0.011    -0.012    -0.009     0.006     0.085     0.009    -0.014    -0.008    -0.010    -0.002     0.002
-22.000     0.025    -0.143    -0.021    -0.003    -0.013     0.002    -0.163     0.104     0.035    -0.055     0.005    -0.013    -0.003    -0.003    -0.002    -0.035     0.017     0.052    -0.008    -0.005    -0.004    -0.005    -0.009    -0.013     0.132    -0.046     0.009    -0.040    -0.002    -0.011     0.009     0.010
-21.900     0.111    -0.122    -0.026    -0.071    -0.053     0.014     0.032    -0.103     0.022    -0.000    -0.003    -0.015     0.000    -0.009    -0.007    -0.004     0.024    -0.002    -0.002    -0.008    -0.005    -0.000    -0.011    -0.000     0.042     0.066     0.006    -0.024     0.000    -0.017    -0.018    -0.035
-21.800     0.016    -0.040    -0.043    -0.012    -0.024    -0.047     0.056     0.001    -0.007     0.009    -0.002    -0.001     0.001     0.000    -0.002    -0.024     0.012     0.049    -0.003    -0.003    -0.006     0.000    -0.009    -0.014    -0.041     0.003     0.004    -0.009    -0.002    -0.005    -0.015     0.014
-21.700     0.029     0.317    -0.027    -0.048    -0.005    -0.005     0.012    -0.024     0.048    -0.040    -0.007    -0.002    -0.007    -0.007    -0.007    -0.019     0.021     0.004    -0.005    -0.004    -0.004    -0.005    -0.012    -0.004    -0.022     0.122     0.001    -0.020     0.000    -0.012    -0.008    -0.017
-21.600    -0.025    -0.084     0.005    -0.046    -0.015     0.019     0.049    -0.122    -0.039    -0.040    -0.005     0.013    -0.009    -0.011    -0.007    -0.019     0.031    -0.003    -0.004     0.002     0.000    -0.013    -0.016    -0.006     0.018    -0.109    -0.010     0.011     0.005    -0.004    -0.011    -0.008
-21.500     0.035    -0.048    -0.024    -0.010    -0.028    -0.039    -0.024     0.154     0.005     0.020    -0.007     0.002    -0.009    -0.007    -0.016     0.001     0.030    -0.051    -0.004    -0.004    -0.002    -0.007    -0.010    -0.012    -0.033    -0.018    -0.002     0.008    -0.006    -0.006     0.005    -0.002
-21.400     0.027     0.045     0.002    -0.022    -0.004     0.048     0.083    -0.027    -0.031    -0.091    -0.013    -0.005    -0.007    -0.010    -0.010     0.002     0.022    -0.056    -0.005    -0.009    -0.003    -0.012    -0.004    -0.007     0.029     0.040     0.001    -0.020     0.004    -0.018    -0.007    -0.004
-21.300    -0.073     0.216     0.015     0.007     0.001     0.014     0.042     0.010     0.004    -0.040    -0.003    -0.005    -0.006    -0.003    -0.017    -0.006    -0.009    -0.007    -0.001    -0.002    -0.006    -0.010    -0.005    -0.006    -0.030    -0.051     0.001    -0.009    -0.000    -0.025     0.019    -0.035
-21.200    -0.013    -0.003     0.030     0.009    -0.006    -0.013    -0.069     0.147    -0.002    -0.021    -0.013     0.002    -0.008     0.005    -0.000    -0.001     0.001    -0.015     0.001    -0.000    -0.004    -0.009    -0.003    -0.011    -0.098     0.042    -0.008     0.012    -0.000    -0.027    -0.001    -0.014
-21.100    -0.007    -0.055    -0.012    -0.044     0.019    -0.004     0.027    -0.074    -0.013     0.023    -0.012     0.002    -0.009    -0.008     0.003    -0.008     0.021    -0.049    -0.001    -0.009    -0.004    -0.009    -0.005    -0.007    -0.021     0.066    -0.019    -0.010    -0.006    -0.002     0.013     0.002
-21.000     0.072    -0.207     0.009     0.045    -0.002     0.020    -0.043     0.010    -0.007    -0.008    -0.005    -0.010    -0.012    -0.015     0.015    -0.008     0.027    -0.027    -0.005    -0.010    -0.003    -0.007    -0.003    -0.012    -0.009    -0.034     0.005     0.010    -0.011    -0.004     0.005    -0.015
-20.900    -0.081     0.086    -0.001     0.013     0.003     0.038     0.038    -0.033    -0.023    -0.058    -0.005     0.009    -0.005    -0.009     0.011     0.011     0.013     0.009    -0.004    -0.008    -0.006    -0.007    -0.007    -0.003    -0.048     0.067     0.002    -0.000    -0.006    -0.006     0.013    -0.032
-20.800    -0.027     0.070    -0.019     0.048     0.004     0.071    -0.056    -0.002     0.014     0.041     0.000    -0.006    -0.004    -0.006    -0.005    -0.031    -0.014     0.013    -0.001    -0.004    -0.005    -0.007    -0.004    -0.002    -0.006     0.160    -0.009     0.015    -0.003    -0.007    -0.020    -0.019
-20.700     0.033     0.045     0.009     0.008    -0.007     0.066     0.004    -0.081    -0.037    -0.041    -0.014    -0.014    -0.009    -0.017    -0.006     0.013    -0.000    -0.011    -0.002    -0.000    -0.007    -0.006    -0.009    -0.009    -0.023    -0.048    -0.016     0.004    -0.005     0.003    -0.025    -0.029
-20.600    -0.058    -0.074    -0.020     0.037    -0.000     0.071    -0.013    -0.147    -0.006    -0.040    -0.010    -0.008    -0.005    -0.011     0.007     0.001     0.013    -0.036    -0.001     0.001    -0.007    -0.007    -0.008    -0.002     0.002     0.075    -0.010    -0.011    -0.001    -0.007     0.013    -0.018
-20.500    -0.162    -0.018     0.016     0.010    -0.020     0.019     0.007     0.028     0.004    -0.011     0.001    -0.005    -0.007    -0.013    -0.001     0.012    -0.006    -0.001    -0.005    -0.011    -0.005    -0.007    -0.007    -0.000     0.009    -0.072    -0.013    -0.004    -0.002    -0.011    -0.002    -0.021
