   -14.70000    -7.68001 157162.52533 -1062.13412 16663.34060  -150.92207 33241.65940 49905
   -14.60000  -658.77693 245631.36048  -180.78798 26193.80947  -327.25971 51967.19053 78161
   -14.50000  -500.00990 246302.08503  -820.87182 26022.70561  -376.00627 51943.29439 77966
   -14.40000  -167.15820 247066.57577   -35.75838 26171.36866  -413.95749 52114.63134 78286
   -14.30000  -384.73973 247943.09660   214.87726 25934.39770  -310.82316 52370.60230 78305
   -14.20000   338.00926 246703.41424   206.96966 26007.77227  -603.27924 52296.22773 78304
   -14.10000  1082.57493 248635.00731  -261.26819 26383.28465   -69.32895 52789.71535 79173
   -14.00000   408.86600 246910.31066  -576.48907 26382.38142  -270.22918 52643.61858 79026
   -13.90000   445.22523 250610.73372  -322.69707 26594.85844  -257.29393 53299.14156 79894
   -13.80000   748.57347 248110.83640   -46.11919 26583.57268  -485.29988 52758.42732 79342
   -13.70000   765.22795 248044.59081   252.31647 26358.95515  -146.76059 53157.04485 79516
   -13.60000   269.05003 250346.27620   196.28745 26592.19465  -178.46612 53622.80535 80215
   -13.50000   520.44048 249220.01898  -252.42051 26211.74882    52.79232 53170.25118 79382
   -13.40000   931.17420 249413.10024   349.57969 26404.21370    84.45228 53108.78630 79513
   -13.30000   813.46543 248780.41879  -362.70725 26264.32068  -280.49829 52916.67932 79181
   -13.20000   665.92584 248745.16389  -212.20818 26359.77575  -294.30424 52825.22425 79185
   -13.10000   341.29532 248732.53779  -709.85458 26182.67059  -115.14128 52990.32941 79173
   -13.00000   448.81392 249068.90093  -462.18413 26278.92899    19.58500 52968.07101 79247
   -12.90000   675.49385 246860.44934  -583.52277 26088.91728    77.19236 52648.08272 78737
   -12.80000   471.17133 249085.68870  -338.45232 26308.30737   -73.59733 52990.69263 79299
   -12.70000   197.94053 245491.38363  -273.60557 26092.56023   -39.64090 52284.43977 78377
   -12.60000   277.14815 243765.98075   415.57425 25870.11464   158.44880 52085.88536 77956
   -12.50000   442.74376 246603.85506   131.68312 25950.50238   183.16985 52649.49762 78600
   -12.40000   248.55239 244222.73447    75.49379 25665.57810    54.83174 52372.42190 78038
   -12.30000  -114.93278 244931.81374   468.35088 25827.35587   275.50178 52247.64413 78075
   -12.20000   270.93740 242866.97047   651.66899 25540.09788   337.34902 51911.90212 77452
   -12.10000   137.92545 243826.30224   -69.19456 25646.70933   197.63607 52324.29067 77971
   -12.00000  -593.22651 245773.18655   643.15441 26073.65588   161.16515 52471.34412 78545
   -11.90000  -624.80380 244423.55168   571.48956 25729.85001   312.55221 52356.14999 78086
   -11.80000  -942.28017 244712.33172   385.90541 25693.53591   -44.55090 52313.46409 78007
   -11.70000 -1037.27949 246407.76003   633.77036 25940.59828    87.70096 52782.40172 78723
   -11.60000 -1315.19861 246088.91467   110.67909 25955.02486   325.09754 52767.97514 78723
   -11.50000 -1693.19963 247738.40104   -91.04953 26029.19471   321.26578 53090.80529 79120
   -11.40000 -1566.97526 246719.75960   428.12232 25950.04750   448.52066 52742.95250 78693
   -11.30000 -1969.42415 245819.10727   550.37728 25869.20477   216.01787 53030.79523 78900
   -11.20000 -1804.79549 248050.63442   117.30421 26038.45066  -133.73891 53360.54934 79399
   -11.10000 -1910.38706 246547.49643   466.34155 26049.42016   -94.41313 52937.57984 78987
   -11.00000 -2216.26126 245572.55920   330.61005 25799.72848  -109.36060 52809.27152 78609
   -10.90000 -1572.22745 244390.54042  -511.49255 25508.28299   -33.51625 52688.71701 78197
   -10.80000 -1290.97647 247341.40454   -71.05356 25942.27138   -99.48268 53154.72862 79097
   -10.70000 -2380.21811 245351.46697  -437.73703 25668.03464  -222.31953 52819.96536 78488
   -10.60000 -2036.24551 246890.13952  -439.93880 25613.81559  -268.74912 52782.18441 78396
   -10.50000 -2441.79342 246625.05564  -407.68818 25919.73485  -227.03275 52550.26515 78470
   -10.40000 -2384.69899 247750.53539  -634.34314 26004.26443    -4.36509 52784.73557 78789
   -10.30000 -2377.84495 247482.22654  -128.48896 26030.30239  -400.74203 52712.69761 78743
   -10.20000 -2172.93623 246132.44551  -427.88803 25702.40299   -85.45090 52853.59701 78556
   -10.10000 -2808.23291 246745.38700  -658.56229 25423.79379   167.90916 52935.20621 78359
   -10.00000 -2587.50152 243501.60002  -142.88744 25398.15440   -83.06080 52373.84560 77772
    -9.90000 -2608.50249 244023.05413  -524.59762 25505.67548  -116.09004 52508.32452 78014
    -9.80000 -2994.15463 245559.34041  -110.20497 25836.09900   196.05924 52681.90100 78518
    -9.70000 -2550.70462 245007.22251  -112.56647 25665.44613  -130.58036 52627.55387 78293
    -9.60000 -2682.71161 244300.44403  -140.28555 25754.37430   125.39641 52248.62570 78003
    -9.50000 -3033.56314 246357.71254  -241.73064 25993.83869  -296.32945 53035.16131 79029
    -9.40000 -2951.87822 244591.71828  -393.16376 25798.58731   -16.66879 52757.41269 78556
    -9.30000 -2883.66880 244960.37931  -296.92444 25940.34052   -33.09170 52839.65948 78780
    -9.20000 -3412.91585 246658.18286  -117.16615 26141.11490    34.47011 52775.88510 78917
    -9.10000 -3089.64396 244474.78253  -202.16402 25977.40591   -55.49162 52513.59409 78491
    -9.00000 -3315.51055 247873.83749  -633.92187 26472.05653   -72.30223 53202.94347 79675
    -8.90000 -3216.88499 246388.93287    98.73885 26100.10254  -137.44618 52754.89746 78855
    -8.80000 -3530.77866 246740.46979  -295.23439 26038.36583  -153.47574 52899.63417 78938
    -8.70000 -3577.51941 247806.21762    27.61683 26205.55035  -258.41794 52956.44965 79162
